遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,112000219,2023/09/13,1901000,38020,480000,01,04,07,08,09,11,13,15,18,19,23,24
雙贏彩,112000220,2023/09/14,1627750,32555,751800,01,02,04,10,12,13,17,18,19,20,23,24
雙贏彩,112000221,2023/09/15,1570350,31407,15457400,03,04,05,07,08,10,11,14,16,17,20,24
雙贏彩,112000222,2023/09/16,1878950,37579,990500,03,04,05,06,07,08,11,12,14,15,17,23
雙贏彩,112000223,2023/09/18,1751500,35030,468300,02,03,05,07,08,10,13,15,16,19,20,24
雙贏彩,112000224,2023/09/19,1545050,30901,349600,01,02,03,05,06,08,09,12,17,19,23,24
雙贏彩,112000225,2023/09/20,1866350,37327,987900,02,06,07,09,13,14,16,17,21,22,23,24
雙贏彩,112000226,2023/09/21,1614000,32280,768600,02,05,06,08,10,13,14,15,18,22,23,24
雙贏彩,112000227,2023/09/22,1567650,31353,546500,04,06,08,09,10,12,13,16,17,18,19,24
雙贏彩,112000228,2023/09/23,1916450,38329,379300,01,04,05,07,08,10,12,13,16,18,20,22
雙贏彩,112000229,2023/09/25,1681650,33633,452300,02,03,04,09,10,11,12,13,16,19,21,24
雙贏彩,112000230,2023/09/26,1514050,30281,459200,01,03,04,06,10,13,14,15,16,19,23,24
雙贏彩,112000231,2023/09/27,1839050,36781,670300,04,05,07,12,14,15,16,20,21,22,23,24
雙贏彩,112000232,2023/09/28,1670400,33408,664000,02,05,06,09,11,13,15,16,17,21,22,24
雙贏彩,112000233,2023/09/29,1525700,30514,15650300,02,03,04,06,11,12,13,14,15,17,22,24
雙贏彩,112000234,2023/09/30,1865400,37308,310300,01,02,05,09,11,12,14,16,18,20,21,23
雙贏彩,112000235,2023/10/02,1733400,34668,453600,01,03,04,05,06,07,12,13,17,18,21,22
雙贏彩,112000236,2023/10/03,1558450,31169,1195500,03,04,05,07,08,09,10,11,12,13,14,24
雙贏彩,112000237,2023/10/04,1866500,37330,591200,02,07,08,09,10,14,17,20,21,22,23,24
雙贏彩,112000238,2023/10/05,1527650,30553,856900,01,02,04,06,10,12,13,17,18,19,22,23
雙贏彩,112000239,2023/10/06,1593200,31864,841100,01,02,04,05,09,11,13,16,19,22,23,24
雙贏彩,112000240,2023/10/07,1982450,39649,585400,02,03,08,10,11,12,13,14,16,19,20,21
雙贏彩,112000241,2023/10/09,1699800,33996,870200,02,03,04,06,09,11,12,13,14,17,18,22
雙贏彩,112000242,2023/10/10,1562350,31247,253200,01,02,05,06,07,08,09,12,14,16,19,24
雙贏彩,112000243,2023/10/11,1986300,39726,447700,06,09,13,14,15,16,18,19,20,22,23,24
雙贏彩,112000244,2023/10/12,1672150,33443,354300,01,05,08,12,13,14,15,18,19,20,21,22
雙贏彩,112000245,2023/10/13,1642350,32847,558400,01,03,04,06,09,12,16,19,20,21,22,23
雙贏彩,112000246,2023/10/14,1973950,39479,384400,02,03,04,07,08,13,15,16,18,19,22,24
雙贏彩,112000247,2023/10/16,1772800,35456,334200,01,02,05,06,07,08,09,10,11,18,21,23
雙贏彩,112000248,2023/10/17,1603050,32061,685700,01,05,09,10,12,16,17,18,20,21,22,23
雙贏彩,112000249,2023/10/18,1955600,39112,686000,01,02,03,04,06,09,11,13,14,15,18,21
雙贏彩,112000250,2023/10/19,1629800,32596,569400,01,02,05,07,09,10,11,17,19,21,23,24
雙贏彩,112000251,2023/10/20,1616700,32334,869600,02,04,06,10,11,12,13,16,19,20,23,24
雙贏彩,112000252,2023/10/21,1976200,39524,493100,02,05,07,08,12,16,17,19,20,21,22,23
雙贏彩,112000253,2023/10/23,1763300,35266,674000,01,03,06,09,10,14,16,17,19,22,23,24
雙贏彩,112000254,2023/10/24,1603300,32066,466800,05,06,07,09,14,15,16,17,18,19,23,24
