遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,110000216,2021/09/09,2065900,41318,610500,01,02,03,05,06,07,10,11,14,16,22,23
雙贏彩,110000217,2021/09/10,2087800,41756,798600,03,04,08,09,10,12,13,14,15,18,20,23
雙贏彩,110000218,2021/09/11,2585950,51719,655900,01,02,04,05,09,10,12,15,16,18,21,22
雙贏彩,110000219,2021/09/13,2167650,43353,827200,01,03,06,07,09,13,14,16,17,22,23,24
雙贏彩,110000220,2021/09/14,2012400,40248,584400,03,04,05,10,11,13,16,18,19,21,22,24
雙贏彩,110000221,2021/09/15,2406450,48129,841200,01,04,07,11,12,15,17,18,19,21,23,24
雙贏彩,110000222,2021/09/16,2018800,40376,192400,02,03,04,07,08,11,14,18,20,21,23,24
雙贏彩,110000223,2021/09/17,2041750,40835,613200,01,03,05,06,08,09,11,12,17,20,21,24
雙贏彩,110000224,2021/09/18,2426700,48534,533500,02,03,11,12,13,15,16,18,20,21,23,24
雙贏彩,110000225,2021/09/20,2060950,41219,399500,02,04,06,07,09,11,12,13,14,20,22,24
雙贏彩,110000226,2021/09/21,1922300,38446,592800,02,03,04,06,09,10,11,17,20,21,23,24
雙贏彩,110000227,2021/09/22,2366700,47334,433100,03,06,08,09,11,15,19,20,21,22,23,24
雙贏彩,110000228,2021/09/23,1965850,39317,384900,01,03,04,08,11,12,14,16,18,19,23,24
雙贏彩,110000229,2021/09/24,1988750,39775,516100,02,06,07,08,09,13,15,17,19,20,23,24
雙贏彩,110000230,2021/09/25,2406600,48132,931600,01,04,09,10,11,12,13,15,16,20,21,24
雙贏彩,110000231,2021/09/27,2105350,42107,802500,01,03,05,06,09,11,14,15,16,19,20,22
雙贏彩,110000232,2021/09/28,2013150,40263,1239500,04,06,07,16,17,18,19,20,21,22,23,24
雙贏彩,110000233,2021/09/29,2386900,47738,945500,01,02,05,07,08,13,14,15,18,21,22,23
雙贏彩,110000234,2021/09/30,2000700,40014,297100,03,06,07,10,11,12,14,15,16,17,20,22
雙贏彩,110000235,2021/10/01,2022450,40449,611600,01,03,07,08,10,11,12,14,15,18,20,24
雙贏彩,110000236,2021/10/02,2398400,47968,750400,01,02,06,09,11,16,18,20,21,22,23,24
雙贏彩,110000237,2021/10/04,2101300,42026,528700,01,03,07,11,12,15,16,17,18,21,23,24
雙贏彩,110000238,2021/10/05,1957050,39141,688500,02,03,05,06,09,13,15,18,20,21,23,24
雙贏彩,110000239,2021/10/06,2388750,47775,923900,05,07,08,11,12,13,15,16,17,20,21,22
雙贏彩,110000240,2021/10/07,1978400,39568,485300,01,02,04,05,07,08,10,14,15,20,22,24
雙贏彩,110000241,2021/10/08,2010900,40218,593300,01,03,07,08,11,12,18,19,20,21,22,24
雙贏彩,110000242,2021/10/09,2398400,47968,1144900,04,05,06,09,10,11,17,18,19,20,22,24
雙贏彩,110000243,2021/10/11,1920400,38408,485100,03,04,05,06,07,08,09,11,13,14,16,20
雙贏彩,110000244,2021/10/12,1896100,37922,562900,01,05,06,08,09,10,15,17,20,21,22,23
雙贏彩,110000245,2021/10/13,2274500,45490,816800,02,05,07,08,09,13,15,16,18,19,20,24
雙贏彩,110000246,2021/10/14,1950050,39001,685500,02,03,04,05,07,08,09,13,16,18,22,23
雙贏彩,110000247,2021/10/15,2010000,40200,995400,04,06,07,10,13,14,16,17,19,20,21,24
雙贏彩,110000248,2021/10/16,2337900,46758,913000,01,02,03,04,05,08,12,13,17,18,19,20
雙贏彩,110000249,2021/10/18,2130100,42602,742600,01,02,03,05,06,10,12,13,17,18,21,24
雙贏彩,110000250,2021/10/19,1912750,38255,580500,01,04,07,08,11,12,15,16,17,21,22,24
雙贏彩,110000251,2021/10/20,2354000,47080,944500,01,03,07,08,12,13,14,17,19,20,21,23
雙贏彩,110000252,2021/10/21,1892500,37850,686200,01,02,04,05,06,08,15,16,19,20,22,23
雙贏彩,110000253,2021/10/22,1920650,38413,474100,01,02,03,09,10,13,16,17,18,19,20,21
雙贏彩,110000254,2021/10/23,2320400,46408,609500,01,02,08,10,11,12,13,14,15,16,22,24
雙贏彩,110000255,2021/10/25,2104750,42095,415600,04,05,07,08,09,10,12,13,15,17,22,23
雙贏彩,110000256,2021/10/26,1916750,38335,575900,03,07,08,09,11,12,16,17,19,21,22,23
雙贏彩,110000257,2021/10/27,2410350,48207,1067600,01,02,04,06,10,11,12,13,19,21,22,24
