遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,113000300,2024/12/14,37371350,747427,20580650,3,7,8,12,35
今彩539,113000301,2024/12/16,39325550,786511,20001900,5,11,21,23,26
今彩539,113000302,2024/12/17,35109650,702193,9248050,3,5,7,16,31
今彩539,113000303,2024/12/18,37493250,749865,17429800,3,24,27,33,37
今彩539,113000304,2024/12/19,32966500,659330,9150800,7,8,11,27,33
今彩539,113000305,2024/12/20,35743050,714861,9808250,3,9,16,19,26
今彩539,113000306,2024/12/21,38077900,761558,18408350,12,13,14,18,32
今彩539,113000307,2024/12/23,35229250,704585,8714400,2,6,13,18,22
今彩539,113000308,2024/12/24,33845550,676911,12827700,1,14,15,28,39
今彩539,113000309,2024/12/25,39658750,793175,17665250,6,18,21,29,38
今彩539,113000310,2024/12/26,36477300,729546,21809650,5,7,12,20,38
今彩539,113000311,2024/12/27,36350900,727018,15910400,7,15,19,20,38
今彩539,113000312,2024/12/28,37424650,748493,18417450,17,18,24,26,30
今彩539,113000313,2024/12/30,40554050,811081,29335050,3,20,23,27,31
今彩539,113000314,2024/12/31,39576800,791536,10294150,11,15,32,33,34
