遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,113000234,2024/09/28,38661800,1546472,19416750,10,20,24,35,39
39樂合彩,113000235,2024/09/30,39658050,1586322,15473500,7,10,24,27,31
39樂合彩,113000236,2024/10/01,35208975,1408359,18696250,20,23,30,31,35
39樂合彩,113000237,2024/10/02,33350675,1334027,17040750,7,8,13,22,34
39樂合彩,113000238,2024/10/03,29919300,1196772,28362750,1,6,15,19,39
39樂合彩,113000239,2024/10/04,34695275,1387811,41317000,5,11,27,38,39
39樂合彩,113000240,2024/10/05,40157125,1606285,21525000,2,5,8,14,32
39樂合彩,113000241,2024/10/07,39346775,1573871,25467750,2,10,17,21,39
39樂合彩,113000242,2024/10/08,35354950,1414198,33214250,1,11,13,25,37
39樂合彩,113000243,2024/10/09,40552575,1622103,26741500,12,17,25,31,34
39樂合彩,113000244,2024/10/10,39801150,1592046,30976000,3,25,29,35,38
39樂合彩,113000245,2024/10/11,39150325,1566013,20490500,14,15,16,24,29
39樂合彩,113000246,2024/10/12,42744475,1709779,22223750,14,21,22,23,35
39樂合彩,113000247,2024/10/14,32381325,1295253,15594500,4,14,19,25,32
39樂合彩,113000248,2024/10/15,28698900,1147956,12246625,2,19,27,33,35
39樂合彩,113000249,2024/10/16,31566300,1262652,14891375,15,20,27,30,31
39樂合彩,113000250,2024/10/17,30579100,1223164,32476875,1,18,21,36,37
39樂合彩,113000251,2024/10/18,29959775,1198391,24676250,4,11,26,34,38
39樂合彩,113000252,2024/10/19,32306625,1292265,11721000,11,15,24,36,37
39樂合彩,113000253,2024/10/21,31997150,1279886,22557625,1,9,17,31,35
39樂合彩,113000254,2024/10/22,28834750,1153390,18254500,7,16,25,32,34
39樂合彩,113000255,2024/10/23,30750850,1230034,19205125,10,18,19,26,37
39樂合彩,113000256,2024/10/24,29060375,1162415,17001750,1,4,8,20,22
39樂合彩,113000257,2024/10/25,29201000,1168040,30841375,6,8,15,28,39
39樂合彩,113000258,2024/10/26,31072150,1242886,12500750,13,15,18,26,28
39樂合彩,113000259,2024/10/28,30118225,1204729,11159625,1,6,13,22,39
39樂合彩,113000260,2024/10/29,26535650,1061426,20070375,9,12,25,29,35
39樂合彩,113000261,2024/10/30,29154550,1166182,26410250,10,11,17,24,33
39樂合彩,113000262,2024/10/31,19649225,785969,13243125,8,13,25,36,38
39樂合彩,113000263,2024/11/01,28070325,1122813,12129125,4,8,11,19,31
39樂合彩,113000264,2024/11/02,31193825,1247753,22053000,6,7,16,37,38
39樂合彩,113000265,2024/11/04,31666650,1266666,12394125,3,7,10,26,35
39樂合彩,113000266,2024/11/05,28145175,1125807,20524125,1,8,18,27,30
39樂合彩,113000267,2024/11/06,31640100,1265604,17351500,6,11,14,18,22
39樂合彩,113000268,2024/11/07,30422875,1216915,13473250,6,10,20,25,32
39樂合彩,113000269,2024/11/08,29304550,1172182,16315375,1,9,13,31,32
39樂合彩,113000270,2024/11/09,32494700,1299788,16823875,2,3,10,21,36
39樂合彩,113000271,2024/11/11,33402850,1336114,12780750,7,14,20,24,26
39樂合彩,113000272,2024/11/12,28424375,1136975,29020750,5,8,17,24,28
39樂合彩,113000273,2024/11/13,31945000,1277800,15161125,3,11,18,21,35
39樂合彩,113000274,2024/11/14,31249575,1249983,12823500,5,11,17,25,30
39樂合彩,113000275,2024/11/15,29584375,1183375,16006250,2,18,27,29,39
39樂合彩,113000276,2024/11/16,31396875,1255875,18443625,4,24,29,33,37
39樂合彩,113000277,2024/11/18,30292250,1211690,15500250,3,5,23,26,27
39樂合彩,113000278,2024/11/19,27162375,1086495,9382375,10,14,21,32,33
39樂合彩,113000279,2024/11/20,30209875,1208395,23427625,13,20,30,31,33
39樂合彩,113000280,2024/11/21,28957525,1158301,14961250,4,12,13,23,25
39樂合彩,113000281,2024/11/22,28516300,1140652,15505000,3,7,8,17,30
39樂合彩,113000282,2024/11/23,30835100,1233404,13135250,3,13,28,29,38
39樂合彩,113000283,2024/11/25,31935775,1277431,10456625,3,6,19,20,38
39樂合彩,113000284,2024/11/26,26292700,1051708,20909125,1,5,11,27,29
39樂合彩,113000285,2024/11/27,30684125,1227365,19352125,7,13,14,21,35
39樂合彩,113000286,2024/11/28,29570075,1182803,16555000,5,9,20,29,34
39樂合彩,113000287,2024/11/29,28108900,1124356,13501000,3,11,18,25,35
39樂合彩,113000288,2024/11/30,31380525,1255221,26941000,4,11,16,17,24
39樂合彩,113000289,2024/12/2,32687775,1307511,25296125,5,13,23,29,38
39樂合彩,113000290,2024/12/3,28987075,1159483,21243125,7,12,15,16,18
39樂合彩,113000291,2024/12/4,31204225,1248169,14880125,12,27,33,35,38
39樂合彩,113000292,2024/12/5,31604050,1264162,17903875,5,19,23,28,39
39樂合彩,113000293,2024/12/6,30368975,1214759,11781500,2,15,20,33,38
39樂合彩,113000294,2024/12/7,32293900,1291756,12505500,6,24,31,32,33
39樂合彩,113000295,2024/12/9,32571350,1302854,12487500,8,9,20,28,32
39樂合彩,113000296,2024/12/10,29445725,1177829,18196625,7,12,13,21,24
39樂合彩,113000297,2024/12/11,33237925,1329517,30137000,4,22,32,34,37
39樂合彩,113000298,2024/12/12,31649400,1265976,20915000,2,11,16,23,29
39樂合彩,113000299,2024/12/13,29866275,1194651,8556750,2,9,20,34,38
39樂合彩,113000300,2024/12/14,31838350,1273534,21864500,3,7,8,12,35
39樂合彩,113000301,2024/12/16,32557025,1302281,20200125,5,11,21,23,26
39樂合彩,113000302,2024/12/17,29428625,1177145,9023375,3,5,7,16,31
39樂合彩,113000303,2024/12/18,31356850,1254274,15249125,3,24,27,33,37
39樂合彩,113000304,2024/12/19,30096850,1203874,10658250,7,8,11,27,33
39樂合彩,113000305,2024/12/20,29427825,1177113,12019875,3,9,16,19,26
39樂合彩,113000306,2024/12/21,31832975,1273319,19476500,12,13,14,18,32
39樂合彩,113000307,2024/12/23,29981850,1199274,12478250,2,6,13,18,22
39樂合彩,113000308,2024/12/24,27984350,1119374,29370000,1,14,15,28,39
39樂合彩,113000309,2024/12/25,32191125,1287645,14845125,6,18,21,29,38
39樂合彩,113000310,2024/12/26,31409575,1256383,21223500,5,7,12,20,38
39樂合彩,113000311,2024/12/27,29880600,1195224,6562125,7,15,19,20,38
39樂合彩,113000312,2024/12/28,30766750,1230670,21470125,17,18,24,26,30
39樂合彩,113000313,2024/12/30,32410525,1296421,25823875,3,20,23,27,31
39樂合彩,113000314,2024/12/31,31311375,1252455,20549375,11,15,32,33,34
